Bus Route Number,Stop Locations,Timestamp,Passenger Count,Trip Duration (mins),Incident ID,Crime Category,Date/Time,District/Zone,Incident Description,Timestamp.1,Latitude,Longitude,Vehicle Count,Accident Severity,Weather Condition
367,Industrial Area,01-01-2023 00:00,52,27,d5cb5728-284b-4dc5-9f9c-26fd4e2bde72,7,01-01-2023 00:00,2,Ever life sister amount eye mouth store free.,01-01-2023 00:00,22.123620356542087,73.23618288848209,29,2,0
107,City Center,01-01-2023 01:00,152,78,8e73fdaf-f5ff-44da-bdc8-ab90ba32402f,14,01-01-2023 01:00,3,Begin bad prove behavior news now turn.,01-01-2023 01:00,23.85214291922975,71.47258521859683,76,6,3
291,Airport,01-01-2023 02:00,40,18,40978e79-10b3-4e35-a9c6-654637a47e25,9,01-01-2023 02:00,3,Performance dark ready hold agreement spring follow whose guy serious those ever fund trade.,01-01-2023 02:00,23.195981825434213,69.97732805316093,18,5,0
322,Suburb,01-01-2023 03:00,51,25,e5434e40-8b28-40bf-b6e8-9c8595062d2c,16,01-01-2023 03:00,5,Study the page under politics take course feel event always.,01-01-2023 03:00,22.795975452591108,72.68320893305047,26,7,0
188,City Center,01-01-2023 04:00,117,60,9a5b0004-b1d6-4fec-9536-2c24b4ef8220,4,01-01-2023 04:00,0,Watch force common model along until five.,01-01-2023 04:00,21.46805592132731,71.09339067841648,57,3,2
48,Suburb,01-01-2023 05:00,21,10,bc25dee3-23db-4bab-83d3-9d594743e803,16,01-01-2023 05:00,5,Friend lawyer reduce look magazine society more possible idea election draw.,01-01-2023 05:00,21.46798356100861,71.97313741726249,8,7,0
22,City Center,01-01-2023 06:00,158,79,fbe0fd89-8e62-4121-b471-b5f1a9356389,3,01-01-2023 06:00,1,While rate put involve item production account financial board.,01-01-2023 06:00,21.1742508365046,69.53632645086971,77,0,0
172,Main Station,01-01-2023 07:00,40,20,1a2ccc97-2f45-43d2-9322-b44425e8dbe9,13,01-01-2023 07:00,3,Between product American institution record generation painting.,01-01-2023 07:00,23.59852843732481,72.15791994757996,17,7,2
362,Suburb,01-01-2023 08:00,202,99,147946f7-d4cb-4ff4-907f-3ef121129993,10,01-01-2023 08:00,2,People edge soon military act role design radio describe.,01-01-2023 08:00,22.803345035229626,70.86775244472562,99,4,2
299,Airport,01-01-2023 09:00,222,111,12241b30-759f-4dea-8347-0228c628fc82,0,01-01-2023 09:00,0,Art reach board seven purpose identify free office leave almost wrong seem make.,01-01-2023 09:00,23.124217733388143,70.67094874859247,108,0,0
313,Suburb,01-01-2023 10:00,152,74,daf4c8d5-1b08-4c4c-aced-5256cd1e2e83,1,01-01-2023 10:00,0,Cut gas gun add experience news.,01-01-2023 10:00,21.061753482887408,73.899577893889,73,0,0
356,Industrial Area,01-01-2023 11:00,114,55,c7537eca-a64b-4a6c-a93e-606f8d94861e,7,01-01-2023 11:00,2,Might man board act move way investment call hour necessary.,01-01-2023 11:00,23.90972955648599,71.16215321380123,55,2,0
352,Airport,01-01-2023 12:00,144,71,2dc36a08-6c30-41d9-938a-14312453d014,4,01-01-2023 12:00,0,Party modern key from strategy common game measure.,01-01-2023 12:00,23.497327922401265,72.39019189057869,72,2,2
